t,u,v,x,y,z,r,num_contours,threshold
2170.1858043670654,483,63,6.4945312500000005,7.375,20.0,38.7,7,
2204.2527198791504,474,73,6.135937500000001,6.958333333333333,20.0,38.52,8,
2235.973834991455,462,88,5.6578125,6.333333333333333,20.0,38.0,6,
2267.737865447998,448,105,5.1000000000000005,5.625,20.0,37.53,5,
2301.1419773101807,431,120,4.42265625,5.0,20.0,37.25,5,
2336.587905883789,413,134,3.7054687500000005,4.416666666666666,20.0,37.22,4,
2369.2378997802734,391,149,2.82890625,3.7916666666666665,20.0,37.02,4,
2403.557777404785,369,163,1.9523437500000003,3.208333333333333,20.0,36.74,4,
2436.760902404785,346,173,1.0359375000000002,2.7916666666666665,20.0,36.86,5,
2468.0917263031006,322,179,0.07968750000000001,2.5416666666666665,20.0,37.48,4,
2501.4188289642334,299,186,-0.8367187500000001,2.25,20.0,38.31,4,
2534.595012664795,279,196,-1.6335937500000002,1.8333333333333333,20.0,39.33,4,
2568.58491897583,256,205,-2.5500000000000003,1.4583333333333333,20.0,40.17,3,
2633.0716609954834,227,208,-3.7054687500000005,1.3333333333333333,20.0,41.6,5,
2667.7067279815674,197,213,-4.9007812500000005,1.125,20.0,43.64,4,
2700.279951095581,171,222,-5.936718750000001,0.75,20.0,45.57,3,
2733.0949306488037,145,236,-6.972656250000001,0.16666666666666666,20.0,47.21,4,
2766.4549350738525,125,254,-7.769531250000001,-0.5833333333333333,20.0,48.64,5,
2799.071788787842,114,277,-8.207812500000001,-1.5416666666666665,20.0,49.96,2,
2828.6759853363037,103,297,-8.64609375,-2.375,20.0,50.82,2,
2863.433837890625,83,307,-9.44296875,-2.7916666666666665,20.0,51.55,2,
2894.6638107299805,62,311,-10.279687500000001,-2.958333333333333,20.0,52.89,2,
2928.0738830566406,50,315,-10.757812500000002,-3.125,20.0,53.18,5,
2961.251974105835,48,320,-10.8375,-3.333333333333333,20.0,53.02,5,
2994.438886642456,50,324,-10.757812500000002,-3.5,20.0,53.37,5,
3026.995897293091,55,324,-10.558593750000002,-3.5,20.0,53.84,3,
3061.9430541992188,62,324,-10.279687500000001,-3.5,20.0,53.72,2,
3093.289852142334,70,324,-9.960937500000002,-3.5,20.0,53.45,2,
3127.5148391723633,76,326,-9.721875,-3.583333333333333,20.0,52.97,2,
3160.9408855438232,78,326,-9.6421875,-3.583333333333333,20.0,52.57,3,
3193.9358711242676,81,326,-9.52265625,-3.583333333333333,20.0,52.36,2,
3227.191925048828,89,326,-9.203906250000001,-3.583333333333333,20.0,52.06,2,
3261.072874069214,98,322,-8.8453125,-3.4166666666666665,20.0,51.49,2,
3292.633056640625,105,312,-8.566406250000002,-3.0,20.0,50.59,2,
3325.6759643554688,113,298,-8.24765625,-2.4166666666666665,20.0,49.89,2,
3358.8128089904785,130,284,-7.570312500000001,-1.8333333333333333,20.0,49.38,2,
3392.2927379608154,153,271,-6.65390625,-1.2916666666666665,20.0,48.54,3,
3425.1229763031006,177,259,-5.6976562500000005,-0.7916666666666666,20.0,47.33,2,
3458.799123764038,201,246,-4.741406250000001,-0.25,20.0,46.09,2,
3490.5710220336914,225,233,-3.7851562500000004,0.29166666666666663,20.0,45.01,6,
3522.2980976104736,251,221,-2.7492187500000003,0.7916666666666666,20.0,44.09,4,
3556.6630363464355,276,212,-1.7531250000000003,1.1666666666666665,20.0,43.09,4,
3589.735746383667,300,202,-0.7968750000000001,1.5833333333333333,20.0,42.2,6,
3623.515844345093,323,189,0.11953125,2.125,20.0,41.5,5,
3657.298803329468,345,176,0.9960937500000001,2.6666666666666665,20.0,41.19,5,
3689.2099380493164,366,163,1.8328125000000002,3.208333333333333,20.0,40.92,4,
3722.087860107422,381,147,2.43046875,3.875,20.0,40.76,4,
3755.4171085357666,397,131,3.0679687500000004,4.541666666666666,20.0,41.03,6,
3789.034843444824,415,121,3.7851562500000004,4.958333333333333,20.0,41.44,5,
3821.5179443359375,429,114,4.342968750000001,5.25,20.0,41.28,6,
3856.1599254608154,438,104,4.7015625000000005,5.666666666666666,20.0,41.01,6,
3887.058734893799,445,92,4.980468750000001,6.166666666666666,20.0,41.48,6,
3920.2380180358887,455,86,5.378906250000001,6.416666666666666,20.0,42.26,8,
3951.695680618286,463,90,5.6976562500000005,6.25,20.0,42.43,8,
3985.347032546997,462,93,5.6578125,6.125,20.0,41.9,7,
4019.8938846588135,459,94,5.538281250000001,6.083333333333333,20.0,41.72,9,
4053.2710552215576,459,97,5.538281250000001,5.958333333333333,20.0,42.07,5,
4084.218740463257,457,102,5.45859375,5.75,20.0,42.03,5,
4117.7849769592285,450,106,5.179687500000001,5.583333333333333,20.0,41.87,5,
4151.69882774353,443,109,4.9007812500000005,5.458333333333333,20.0,42.26,5,
4183.584928512573,434,116,4.542187500000001,5.166666666666666,20.0,42.68,5,
4218.291759490967,419,126,3.9445312500000003,4.75,20.0,42.43,4,
4251.591920852661,400,135,3.1875000000000004,4.375,20.0,42.1,4,
4282.785892486572,382,143,2.4703125000000004,4.041666666666666,20.0,42.33,4,
4349.8969078063965,368,152,1.9125,3.6666666666666665,20.0,42.84,5,
4382.847785949707,352,164,1.2750000000000001,3.1666666666666665,20.0,43.11,5,
4417.167663574219,334,173,0.5578125,2.7916666666666665,20.0,43.41,6,
4451.075077056885,315,184,-0.19921875000000003,2.333333333333333,20.0,43.91,4,
4484.325885772705,298,196,-0.8765625000000001,1.8333333333333333,20.0,44.41,5,
4511.776924133301,278,205,-1.6734375000000001,1.4583333333333333,20.0,45.05,5,
4545.835971832275,259,214,-2.43046875,1.0833333333333333,20.0,46.16,5,
4580.893754959106,243,228,-3.0679687500000004,0.5,20.0,47.23,4,
4613.270998001099,228,244,-3.6656250000000004,-0.16666666666666666,20.0,47.99,5,
4645.927906036377,211,255,-4.342968750000001,-0.625,20.0,48.63,3,
4681.199789047241,192,261,-5.1000000000000005,-0.875,20.0,49.98,2,
4710.924863815308,175,268,-5.777343750000001,-1.1666666666666665,20.0,51.41,2,
4743.804931640625,160,278,-6.375000000000001,-1.5833333333333333,20.0,52.3,2,
4777.24289894104,148,288,-6.853125,-2.0,20.0,53.22,1,
4811.532974243164,138,299,-7.2515625,-2.458333333333333,20.0,54.45,1,
4843.848943710327,131,312,-7.530468750000001,-3.0,20.0,55.17,1,
4876.677751541138,119,322,-8.008593750000001,-3.4166666666666665,20.0,55.33,1,
4907.505750656128,103,325,-8.64609375,-3.5416666666666665,20.0,56.09,1,
4941.139936447144,93,330,-9.04453125,-3.75,20.0,57.49,1,
