t,u,v,r,num_contours,threshold
1674.4210720062256,330,356,221.39,158,147.0
1705.613136291504,330,355,221.34,167,147.0
1740.9911155700684,330,356,220.67,204,147.0
1772.273302078247,330,357,219.99,195,147.0
1804.9421310424805,331,354,221.57,211,147.0
1837.8701210021973,332,354,222.09,172,147.0
1871.2701797485352,331,354,222.32,172,147.0
1904.1574001312256,333,353,222.97,207,147.0
1938.117265701294,331,354,222.01,223,147.0
1971.527338027954,332,355,221.36,194,147.0
2004.6501159667969,332,355,221.42,171,147.0
2039.5772457122803,331,355,220.69,181,147.0
2070.9121227264404,332,354,221.24,197,147.0
2136.521100997925,332,355,220.73,216,147.0
2169.8360443115234,330,355,221.71,159,147.0
2204.0200233459473,331,355,221.15,186,147.0
2236.3851070404053,330,357,219.08,182,147.0
2270.5001831054688,330,357,219.7,198,147.0
2302.183151245117,333,357,218.94,182,147.0
2334.5632553100586,331,358,218.64,200,147.0
2367.8011894226074,331,356,219.91,172,147.0
2400.925397872925,331,356,220.21,199,147.0
2433.7782859802246,330,356,220.25,191,147.0
2468.6362743377686,331,355,221.6,181,147.0
2499.6821880340576,329,356,220.96,198,147.0
2533.170223236084,329,357,219.86,188,147.0
2566.120147705078,330,357,219.72,201,147.0
2599.419355392456,330,357,219.6,193,147.0
2632.7009201049805,330,356,220.49,155,147.0
2666.243076324463,330,355,221.26,188,147.0
2697.303056716919,330,356,220.4,198,147.0
2730.2491664886475,330,355,221.67,144,147.0
2764.003276824951,331,356,220.72,154,147.0
2797.415256500244,329,356,220.78,195,147.0
2830.2390575408936,331,355,221.03,166,147.0
2864.565134048462,330,356,220.75,209,147.0
2895.923137664795,330,355,221.42,195,147.0
2929.2852878570557,331,354,222.61,193,147.0
2962.308168411255,330,354,222.23,157,147.0
2995.187997817993,330,353,223.27,148,147.0
3028.804302215576,331,353,223.3,184,147.0
3061.706066131592,329,355,221.94,188,147.0
3094.8002338409424,331,353,223.48,175,147.0
3128.1771659851074,331,353,223.21,195,147.0
3160.710334777832,331,352,223.81,177,147.0
3194.29612159729,332,350,225.47,162,147.0
3226.48024559021,332,351,225.61,166,147.0
3261.080265045166,331,350,226.19,174,147.0
3293.6880588531494,332,350,225.81,182,147.0
3327.3003101348877,331,352,225.17,178,147.0
3357.5592041015625,331,351,225.12,181,147.0
3390.9671306610107,330,357,220.3,143,146.0
3423.7430095672607,331,351,225.67,180,147.0
3458.249092102051,333,349,226.3,181,147.0
3489.7992610931396,330,356,221.05,140,146.0
3522.754192352295,331,350,226.46,184,147.0
3555.908203125,333,349,226.6,177,147.0
3588.5419845581055,329,357,220.13,153,146.0
3622.380018234253,331,351,225.54,208,147.0
3656.7811965942383,330,357,220.2,159,146.0
3687.714099884033,331,350,225.69,199,147.0
3720.952272415161,332,349,226.77,204,147.0
3754.8820972442627,333,349,226.57,176,147.0
3785.776138305664,331,350,226.36,196,147.0
3850.645065307617,333,349,226.56,215,147.0
3885.1053714752197,329,357,220.52,178,146.0
3916.361093521118,331,356,220.68,178,146.0
3950.34122467041,333,350,225.91,238,147.0
3983.2730293273926,329,357,219.52,195,146.0
4016.282320022583,331,350,225.71,182,147.0
4049.809217453003,331,357,218.99,193,146.0
4084.2370986938477,332,351,224.45,197,147.0
4116.3599491119385,334,350,225.0,235,147.0
4149.598121643066,332,351,224.34,221,147.0
4182.486057281494,332,351,224.36,213,147.0
4216.5350914001465,333,351,224.6,221,147.0
4249.38702583313,332,351,224.39,234,147.0
4283.225297927856,333,350,225.11,210,147.0
4314.310312271118,334,350,224.76,222,147.0
4347.774028778076,333,351,224.55,236,147.0
4380.781173706055,333,350,225.11,245,147.0
4413.39111328125,333,351,224.34,218,147.0
4447.948217391968,332,351,224.41,221,147.0
4480.921268463135,334,351,224.6,224,147.0
4512.638092041016,332,351,224.36,211,147.0
4546.233177185059,332,351,224.61,200,147.0
4577.842950820923,334,351,224.54,217,147.0
4612.411260604858,332,351,224.28,206,147.0
4646.157264709473,333,351,224.53,230,147.0
4680.037260055542,333,351,224.28,231,147.0
4711.1711502075195,332,351,224.14,208,147.0
4745.3272342681885,333,351,224.46,232,147.0
4777.806282043457,333,351,224.24,203,147.0
4811.394214630127,332,352,223.9,219,147.0
4844.412326812744,334,351,224.26,202,147.0
4877.949953079224,333,352,223.69,214,147.0
4908.365249633789,331,357,219.04,191,146.0
4944.026231765747,331,357,219.07,179,146.0
4978.170156478882,330,361,215.39,206,145.0
5009.202241897583,331,361,215.2,195,145.0
5042.075157165527,333,366,210.34,224,144.0
5073.83918762207,143,455,36.49,1,87.0
5105.117321014404,146,453,37.99,1,86.0
5138.132095336914,147,451,39.55,1,87.0
5172.262191772461,146,448,41.3,1,86.0
5205.066204071045,146,444,42.93,1,86.0
5238.521099090576,146,441,44.28,1,86.0
5272.781133651733,146,437,45.34,1,85.0
5304.0971755981445,146,432,45.82,1,85.0
5337.472200393677,149,426,45.56,1,85.0
5370.70107460022,151,420,45.09,1,85.0
5403.677225112915,153,412,44.85,1,85.0
5436.968088150024,155,405,44.66,1,85.0
5470.9601402282715,157,398,44.37,1,85.0
5535.8171463012695,160,392,44.11,1,85.0
5567.378997802734,163,387,43.91,1,85.0
5601.405143737793,167,383,43.56,1,85.0
5634.389162063599,169,378,43.24,1,85.0
5667.991161346436,171,372,43.03,1,85.0
5701.357126235962,172,366,42.93,2,85.0
5733.204126358032,175,361,42.74,1,85.0
5765.7952308654785,178,357,42.48,1,85.0
5799.138069152832,181,352,42.17,1,85.0
5831.810235977173,183,348,41.97,1,85.0
5864.07208442688,185,343,41.77,1,85.0
5896.557092666626,187,338,41.57,2,85.0
5930.012226104736,188,334,41.46,2,85.0
5962.582111358643,189,330,41.3,2,85.0
5995.881080627441,192,327,41.12,2,85.0
6028.693199157715,195,324,40.88,4,85.0
6060.359239578247,197,319,40.65,5,85.0
6095.351219177246,198,313,40.53,2,85.0
6127.823114395142,200,307,40.44,3,85.0
6161.165237426758,201,302,40.37,9,85.0
6194.258213043213,203,297,40.29,8,85.0
6227.726221084595,205,293,40.23,10,85.0
6260.943174362183,206,288,40.09,5,85.0
6296.136140823364,206,283,39.98,7,86.0
6326.987028121948,208,278,39.73,6,85.0
6360.5639934539795,211,272,39.5,8,85.0
6392.831087112427,214,265,39.29,7,86.0
6427.768230438232,217,257,39.17,8,86.0
6459.670066833496,221,251,39.11,5,86.0
6500.862121582031,227,247,39.08,6,86.0
6523.486137390137,233,244,38.89,8,85.0
6559.03697013855,237,242,38.68,9,85.0
6594.029188156128,241,240,38.46,5,85.0
6624.774217605591,243,239,38.22,6,85.0
6659.58309173584,244,237,38.04,12,85.0
6691.725254058838,246,236,37.93,7,85.0
