t,u,v,x,y,z,r,num_contours,threshold
4807.488918304443,187,438,-5.2992187500000005,-8.25,20.0,41.2,6,
4841.667175292969,181,432,-5.538281250000001,-8.0,20.0,41.86,7,
4875.401258468628,177,425,-5.6976562500000005,-7.708333333333333,20.0,41.98,6,
4909.916162490845,171,417,-5.936718750000001,-7.375,20.0,41.94,7,
4941.770076751709,165,409,-6.175781250000001,-7.041666666666666,20.0,42.26,6,
4973.717927932739,162,403,-6.2953125000000005,-6.791666666666666,20.0,42.53,7,
5006.843090057373,158,397,-6.4546875,-6.541666666666666,20.0,42.56,8,
5040.885925292969,154,390,-6.614062500000001,-6.25,20.0,42.54,7,
5073.806047439575,150,384,-6.773437500000001,-6.0,20.0,42.6,4,
5107.806205749512,147,377,-6.8929687500000005,-5.708333333333333,20.0,42.73,7,
5138.507127761841,142,369,-7.0921875000000005,-5.375,20.0,42.82,6,
5172.502040863037,138,362,-7.2515625,-5.083333333333333,20.0,42.88,5,
5204.791069030762,134,356,-7.410937500000001,-4.833333333333333,20.0,42.95,5,
5237.542152404785,132,351,-7.4906250000000005,-4.625,20.0,43.07,5,
5272.240161895752,129,346,-7.610156250000001,-4.416666666666666,20.0,43.26,4,
5306.057929992676,125,340,-7.769531250000001,-4.166666666666666,20.0,43.33,3,
5337.989091873169,121,335,-7.928906250000001,-3.958333333333333,20.0,43.48,8,
5373.4290599823,118,331,-8.0484375,-3.7916666666666665,20.0,43.68,6,
5403.951168060303,112,324,-8.287500000000001,-3.5,20.0,44.07,2,
5437.80517578125,104,318,-8.606250000000001,-3.25,20.0,44.63,8,
5469.76113319397,103,317,-8.64609375,-3.208333333333333,20.0,44.96,7,
5503.929138183594,109,323,-8.407031250000001,-3.458333333333333,20.0,44.76,4,
5535.848140716553,115,328,-8.16796875,-3.6666666666666665,20.0,44.41,6,
5571.230888366699,114,326,-8.207812500000001,-3.583333333333333,20.0,44.32,5,
5604.1100025177,110,320,-8.3671875,-3.333333333333333,20.0,44.57,6,
5636.522054672241,108,317,-8.446875,-3.208333333333333,20.0,44.91,5,
5669.722080230713,109,316,-8.407031250000001,-3.1666666666666665,20.0,44.95,5,
5704.56600189209,112,315,-8.287500000000001,-3.125,20.0,44.82,4,
5733.670234680176,114,315,-8.207812500000001,-3.125,20.0,44.78,7,
5766.2811279296875,117,315,-8.088281250000001,-3.125,20.0,44.82,6,
5798.931121826172,119,315,-8.008593750000001,-3.125,20.0,44.74,5,
5833.729028701782,120,315,-7.968750000000001,-3.125,20.0,44.67,5,
5865.253210067749,120,314,-7.968750000000001,-3.083333333333333,20.0,44.85,2,
5933.743000030518,119,314,-8.008593750000001,-3.083333333333333,20.0,45.02,6,
5964.446306228638,116,313,-8.128125,-3.0416666666666665,20.0,44.98,4,
6000.318288803101,113,312,-8.24765625,-3.0,20.0,45.24,5,
6030.064105987549,112,314,-8.287500000000001,-3.083333333333333,20.0,45.49,7,
6063.899040222168,114,318,-8.207812500000001,-3.25,20.0,45.53,6,
6096.866130828857,114,320,-8.207812500000001,-3.333333333333333,20.0,45.46,6,
6130.460262298584,113,321,-8.24765625,-3.375,20.0,45.36,4,
6161.001920700073,113,321,-8.24765625,-3.375,20.0,45.44,7,
6194.681167602539,113,321,-8.24765625,-3.375,20.0,45.4,6,
6228.196144104004,112,320,-8.287500000000001,-3.333333333333333,20.0,45.27,6,
6261.357069015503,110,318,-8.3671875,-3.25,20.0,45.26,8,
6294.265031814575,110,318,-8.3671875,-3.25,20.0,45.28,7,
6327.9242515563965,112,320,-8.287500000000001,-3.333333333333333,20.0,45.03,7,
6359.238147735596,116,322,-8.128125,-3.4166666666666665,20.0,44.56,6,
6392.5721645355225,122,324,-7.8890625000000005,-3.5,20.0,44.37,4,
6426.431894302368,126,325,-7.729687500000001,-3.5416666666666665,20.0,44.24,5,
6460.198163986206,129,325,-7.610156250000001,-3.5416666666666665,20.0,44.02,3,
6493.467092514038,129,324,-7.610156250000001,-3.5,20.0,43.81,3,
6526.75199508667,128,322,-7.65,-3.4166666666666665,20.0,43.83,4,
6558.53796005249,129,322,-7.610156250000001,-3.4166666666666665,20.0,43.95,3,
6590.88921546936,131,324,-7.530468750000001,-3.5,20.0,43.95,2,
6624.305248260498,132,326,-7.4906250000000005,-3.583333333333333,20.0,43.89,3,
6656.116962432861,132,328,-7.4906250000000005,-3.6666666666666665,20.0,43.86,3,
6688.730239868164,131,329,-7.530468750000001,-3.708333333333333,20.0,43.89,4,
6722.746133804321,128,329,-7.65,-3.708333333333333,20.0,44.07,3,
6754.633188247681,124,328,-7.809375000000001,-3.6666666666666665,20.0,44.22,4,
