t,u,v,r,num_contours,threshold
5500.938177108765,184,218,48.01,5,41
5533.774137496948,183,218,48.23,9,42
5567.058324813843,181,216,48.42,4,42
5600.435972213745,181,217,48.54,4,42
5635.18214225769,182,217,48.41,8,43
5668.235063552856,181,217,48.41,6,43
5700.7951736450195,182,217,48.5,3,44
5734.044313430786,184,218,48.44,6,44
5764.854192733765,185,218,48.28,5,44
5800.965309143066,184,217,48.64,6,45
5831.492185592651,184,217,48.69,6,45
5864.6180629730225,183,217,48.75,5,46
5897.953033447266,182,216,48.78,6,46
5930.762052536011,181,216,48.95,7,46
5963.23823928833,182,216,48.96,5,47
5996.502161026001,183,216,48.91,7,47
6028.937101364136,184,216,49.06,14,48
6063.392162322998,184,216,49.07,12,48
6095.934152603149,185,216,48.98,15,48
6129.270076751709,183,216,49.2,9,49
6161.677122116089,182,215,49.39,9,49
6194.374322891235,183,215,49.32,12,50
6228.241205215454,184,215,49.32,13,50
6262.07423210144,183,215,49.36,13,50
6293.873310089111,184,215,49.43,14,51
6326.8702030181885,185,215,49.34,15,51
6360.125303268433,185,215,49.4,15,52
6393.197059631348,184,215,49.53,18,52
6426.3622760772705,184,215,49.55,18,52
6460.082292556763,184,215,49.51,20,53
6491.6651248931885,184,215,49.48,20,53
6525.337219238281,184,215,49.56,15,54
6557.929039001465,185,215,49.56,16,54
6590.190172195435,184,215,49.56,13,54
6623.536109924316,184,215,49.76,18,55
6655.890226364136,185,215,49.66,16,55
6687.880277633667,185,215,49.68,19,55
6721.145153045654,185,215,49.75,16,56
6754.709005355835,184,214,49.84,10,56
6785.787105560303,185,214,49.87,14,57
6820.700168609619,184,214,49.86,13,57
6853.851318359375,183,214,49.92,18,57
6886.9640827178955,182,213,50.04,15,58
6920.514106750488,181,213,50.22,11,58
6953.28426361084,180,212,50.39,14,59
7020.029306411743,180,212,50.35,13,59
7053.282022476196,181,213,50.29,12,60
7086.459159851074,182,214,50.17,9,60
7121.0691928863525,182,213,50.27,15,61
7152.614116668701,181,213,50.35,12,61
7185.072183609009,182,212,50.44,11,61
7217.079162597656,182,212,50.5,8,62
7249.699115753174,181,212,50.51,11,62
7285.0282192230225,181,212,50.55,13,63
7317.235946655273,181,212,50.52,10,63
7351.061105728149,181,212,50.61,13,63
7384.001016616821,181,212,50.61,15,64
7417.625188827515,181,211,50.6,13,64
7447.710990905762,182,211,50.71,12,65
7480.940103530884,182,212,50.71,17,65
7513.25535774231,182,212,50.56,13,65
7545.7892417907715,181,211,50.78,15,66
7579.471111297607,181,211,50.76,13,66
7612.372159957886,182,212,50.79,12,67
7645.949363708496,183,212,50.76,17,67
7680.054187774658,184,212,50.72,14,67
7712.247133255005,184,212,50.76,11,68
7745.742082595825,183,212,50.73,13,68
7778.513193130493,183,212,50.75,14,69
7811.962127685547,182,211,50.79,20,69
7844.892263412476,181,211,50.9,12,69
7878.245115280151,182,211,50.92,18,70
7910.783052444458,183,212,50.8,13,70
7944.16618347168,184,212,50.82,11,71
7977.055072784424,185,212,50.84,17,71
8009.986162185669,184,212,50.78,17,71
8043.036222457886,184,212,50.75,15,72
8076.884031295776,183,211,50.86,20,72
8109.23433303833,183,211,50.96,26,73
8142.179250717163,183,211,50.96,23,73
8174.697160720825,184,211,50.91,15,73
8208.149194717407,185,212,50.88,19,74
8241.532325744629,186,212,50.73,16,74
8275.448083877563,185,212,50.94,18,75
8305.973052978516,184,212,50.93,22,75
8339.604139328003,185,212,50.81,24,75
8372.343063354492,184,212,50.9,17,76
8406.055212020874,183,212,50.96,16,76
8437.40701675415,185,213,50.87,16,76
8472.147226333618,188,214,50.67,13,77
8505.181312561035,189,214,50.64,16,77
8538.316011428833,190,214,50.7,18,78
8571.512222290039,190,215,50.65,17,78
8604.53200340271,189,215,50.58,19,78
8636.92593574524,187,214,50.67,16,79
8670.849084854126,185,213,50.83,17,79
8736.960172653198,184,212,50.97,11,80
8770.808219909668,183,212,51.05,14,81
8799.239158630371,184,212,50.99,11,81
8832.756996154785,184,213,50.94,10,81
8865.148305892944,183,213,50.98,11,82
8899.299144744873,184,213,50.95,10,82
8932.008981704712,184,213,50.93,13,82
8965.440034866333,184,213,51.04,11,83
9000.0,184,214,50.96,9,83
9032.823085784912,185,214,50.87,9,84
9067.093133926392,183,213,50.99,12,84
9100.877046585083,180,211,51.15,10,84
9130.475044250488,179,211,51.31,13,85
9163.949251174927,179,212,51.25,8,85
9196.983098983765,179,212,51.17,7,86
9230.987071990967,179,212,51.23,8,86
9263.187170028687,182,212,51.23,7,86
9296.468019485474,183,213,51.07,10,87
9329.296112060547,183,213,51.09,10,87
9363.086223602295,182,212,51.16,10,88
9395.8420753479,181,212,51.14,11,88
9428.24411392212,180,212,51.18,10,88
9461.50517463684,180,212,51.23,12,89
9494.304180145264,183,213,51.16,9,89
9526.178121566772,185,214,51.08,10,90
